,dG0,sdG0
R_3M2OBLOXRD,-26.1726581956,3.21517274243
R_3M2OPLOXRD,-26.1725335779,3.21517274243
R_3M4HDXPAC,-38.1874605853,1.11652288576
R_3MBALDt,0.0,0.0
R_3MBALDtm,0.0,0.0
R_3MBZALDH,22.3304173813,1.00950508949
R_3MBZDH,-38.1835141659,1.11652288576
R_3MBt2pp,0.0,0.0
R_3MBt4pp,0.0,0.0
R_3MBtex,0.0,0.0
R_3MCAT23DOX,-256.340055946,5.26603945475
R_3MMD,19.8649351176,0.975026675028
R_3MOBt2im,0.0,0.0
R_3MOBth,0.0,0.0
R_3MOBtm,0.0,0.0
R_3MOPDC,-12.1890202911,3.10948467687
R_3MOPt,0.0,0.0
R_3MOPt2im,0.0,0.0
R_3MOPtm,0.0,0.0
R_3MOX4HOXPGALDOX,-38.1873811787,1.11652288576
R_3MOX4HOXPGALDOX_NADP,-38.0015907443,1.1371105733
R_3MOXTYRESSte,-51.5610868053,0.61580382496
R_3NTD2pp,-12.6643807033,1.85388732144
R_3NTD2pp_1,-27.6131693566,1.57570107016
R_3NTD4pp,-21.1387681393,2.17538069341
R_3NTD7l,-15.3604246643,2.94330937406
R_3NTD7pp,-15.3604246643,2.94330937406
R_3NTD9pp,-11.729101715,3.43440634494
R_3NUCLE1,-15.3604246643,2.94330937406
R_3NUCLE2,-12.6643807033,1.85388732144
R_3NUCLE3,-21.1387681393,2.17538069341
R_3NUCLE4,-11.729101715,3.43440634494
R_3OACOAR,-19.9526229036,1.00070719641
R_3OACOAS,18.9167646719,3.66280352954
R_3OADPCOAT,-3.15353896598,1.63774474164
R_3OAR100,0.0,0.0
R_3OAR100_1,0.0,0.0
R_3OAR120,0.0,0.0
R_3OAR120_1,0.0,0.0
R_3OAR140,0.0,0.0
R_3OAR140_1,0.0,0.0
R_3OAR160,0.0,0.0
R_3OAR160_1,0.0,0.0
R_3OAR40,0.0,0.0
R_3OAR40_1,0.0,0.0
R_3OAR60,0.0,0.0
R_3OAR60_1,0.0,0.0
R_3OAR80,0.0,0.0
R_3OAR80_1,0.0,0.0
R_3OAS100,0.0,0.0
R_3OAS100_1,0.0,0.0
R_3OAS120,0.0,0.0
R_3OAS120_1,0.0,0.0
R_3OAS140,0.0,0.0
R_3OAS140_1,0.0,0.0
R_3OAS160,0.0,0.0
R_3OAS160_1,0.0,0.0
R_3OAS60,0.0,0.0
R_3OAS60_1,0.0,0.0
R_3OAS80,0.0,0.0
R_3OAS80_1,0.0,0.0
R_3OPHB5Hm,-211.368483555,2.35545066433
R_3OPHB_5tm,0.0,0.0
R_3OXCOAT,-29.7327723032,2.67027562106
R_3OXOADPt_ex,0.0,0.0
R_3OXOADPt_pp,0.0,0.0
R_3PG_pi_thr,0.0,0.0
R_3PGt6,0.0,0.0
R_3PGt6pp,0.0,0.0
R_3PGtex,0.0,0.0
R_3PGtx,0.0,0.0
R_3SALAASPm,0.0,0.0
R_3SALACBOXL,-19.4125554576,3.105479303
R_3SALAOX,-1523.26217859,244948.97436
R_3SALATAi,-8.65808774294,1.84043574982
R_3SALATAim,-8.65808774294,1.84043574982
R_3SPYRSP,-284.354832384,100000.000071
R_3SPYRSPh,-284.354832384,100000.000071
R_3SPYRSPm,-284.354832384,100000.000071
R_3SPYRSPm_1,-284.354832384,100000.000071
R_3UMPt6,0.0,0.0
R_3UMPtex,0.0,0.0
R_3_4DHBZ1t_pp,0.0,0.0
R_3_4DHBZt2,0.0,0.0
R_3hoxpactex,0.0,0.0
R_41R1H2MAE12BOOX,-88.0682689263,6.38832831441
R_4ABUTD,-48.2357339954,1.98944974249
R_4ABUTNtm,0.0,0.0
R_4ABUTth,0.0,0.0
R_4ABUTthi,0.0,0.0
R_4ABUTtm,0.0,0.0
R_4ABUTtmi,0.0,0.0
R_4ABZt,0.0,0.0
R_4ABZt2r,0.0,0.0
R_4ABZtm,0.0,0.0
R_4C2HM6SADH,-37.4875558671,1.76586636923
R_4CMCOAS,-9.79823281444,1.46708485328
R_4CMLCL_kt,-75.2172356483,5.28555403719
R_4H2KPILY,6.77273618643,1.8714383656
R_4H2OGLTtm,0.0,0.0
R_4H2OGLTtp,0.0,0.0
R_4HALDD,-38.1963594794,1.11652288576
R_4HBALDt2pp,0.0,0.0
R_4HBALDtex,0.0,0.0
R_4HBAtex,0.0,0.0
R_4HBCOAH,0.0258613127335,1.94279049163
R_4HBHYOX,-440.72956622,3.56607948273
R_4HBZCOAFm,-14.4728786509,1.98025798735
R_4HBZFm,-24.2890475581,1.44937869535
R_4HBZtex,0.0,0.0
R_4HBZtm,0.0,0.0
R_4HGLSD,-38.1598196712,1.11652288576
R_4HGLSDm,-38.1598196712,1.11652288576
R_4HOXPACDOX_NADP,-38.0105690449,1.1371105733
R_4HOXPACDtex,0.0,0.0
R_4HOXPACMOF,-425.531798503,4.63818096251
R_4HOXPACt2pp,0.0,0.0
R_4HOXPACt2pp_1,0.0,0.0
R_4HPRO_LTtm,0.0,0.0
R_4HPROtg,0.0,0.0
R_4HTHRK,-11.9329231538,1.2233063929
R_4HTHRS,-13.8476202489,1.23002388087
R_4HTHRtex,0.0,0.0
R_4HTHRtrpp,0.0,0.0
R_4M2OPLOXRD,-25.4029589019,4.19440957499
R_4MBZALDH,22.3304173813,1.00950508949
R_4MBZDH,-38.1843092828,1.11652288576
R_4MCAT23DOX,-249.053336188,5.24817887171
R_4MOPDC,24.7932933551,4.33218145791
R_4MOPt2im,0.0,0.0
R_4MOPtm,0.0,0.0
R_4MPTNLte,0.0,0.0
R_4MPTNLtm,0.0,0.0
R_4MPTNLtr,0.0,0.0
R_4MZYMDM,0.0,0.0
R_4MZYMR,453.003016707,3.59457574947
R_4NPHte,0.0,0.0
R_4OD2,-17.8563212533,3.105479303
R_4OT2,0.000996373366718,0.0
R_4PHACTE,-25.2776590067,1.44937869535
R_4PYRDX,-25.7805434027,0.30790191248
R_4hoxpactex,0.0,0.0
R_56DH5FLURAAMH,-3.63246320491,2.71477555473
R_5ADTSTSTERONEte,0.0,0.0
R_5ADTSTSTERONEtr,0.0,0.0
R_5AOPt2,0.0,0.0
R_5AOPtm,0.0,0.0
R_5CM2HMUDI,-0.00385574520502,0.0
R_5DGLCNR,-24.7580052187,3.30728670645
R_5DGLCNt2rpp,0.0,0.0
R_5DGLCNtex,0.0,0.0
R_5FLURAOR,166.686349306,100000.000148
R_5FLURAPRT,-22.7219362138,2.49791690826
R_5FLURAt,0.0,0.0
R_5FTHFt,0.0,0.0
R_5FTHFt2,0.0,0.0
R_5FTHFtm,0.0,0.0
R_5HLTDL,-21.075025285,3.105479303
R_5HOXINDACTO2OX,-170.837402423,4.34180102802
R_5HOXINDACTOX,-38.1951230623,1.11652288576
R_5HOXINDACTOXm,-38.1951230623,1.11652288576
R_5HTRPDOX,-327.914236636,6.50147063952
R_5HTRPVESSEC,-51.5610868053,0.61580382496
R_5HXKYNDCL,-21.0457832663,3.105479303
R_5MTAth,0.0,0.0
R_5MTAtm,0.0,0.0
R_5MTHFt,0.0,0.0
R_5MTHFt2,0.0,0.0
R_5MTHFtm,0.0,0.0
R_5MTRt2,0.0,0.0
R_5MTRtex,0.0,0.0
R_5MTRtpp,0.0,0.0
R_6APAt1,0.0,0.0
R_6HNACMO,-451.173352483,4.78772063516
R_6HTSTSTERONEte,0.0,0.0
R_6HTSTSTERONEtr,0.0,0.0
R_6MPURPRT,-36.233240346,0.0
R_6MPURt,0.0,0.0
R_6PGCt6,0.0,0.0
R_6PGLter,0.0,0.0
R_6PGLthr,0.0,0.0
R_6PHBG,33.6484793479,2.54612062784
R_6TINS5MPOR,-43.6366043122,0.0
R_6TXAN5MPAML,-121.208219075,0.0
R_7DHCHSTEROLtr,0.0,0.0
R_7MHS,-32.0911429564,4.71391625874
R_7MHTS,-15.4812102307,2.95264026371
R_8AONNt2,0.0,0.0
R_A1E,-0.691394495652,1.28547560612
R_A5PISO,-2.62452582009,1.73973576734
R_AABHH,3.8311911241,2.85357504594
R_AABTN,-19.7734379904,2.22791775049
R_AACOAR_syn,-17.855216728,3.64128006901
R_AACOAT,1.07173533669,1.43895491232
R_AACPS1,0.0,0.0
R_AACPS1_1,0.0,0.0
R_AACPS5,0.0,0.0
R_AACPS5_1,0.0,0.0
R_AACPS7,0.0,0.0
R_AACPS8,0.0,0.0
R_AACPS9,0.0,0.0
R_AACTtm,0.0,0.0
R_AADSACYCL,-14.0932734823,4.91235914387
R_AAPT,-2.10637144354,1.6472728705
R_AASAD1,6.15314968372,2.91058446492
R_AASAD2,6.33894011818,2.8887950675
R_AASAD3,-41.3826343017,2.8750463091
R_AASAD3m,-41.3826343017,2.8750463091
R_AASPh,-14.7999429381,5.85703535594
R_AASPm,-14.7999429381,5.85703535594
R_AATA,0.715590097186,2.9601378257
R_AATAi,-0.715590097186,2.9601378257
R_AATC,-8.58719145325,1.84043574982
R_AATG,-8.65808774294,1.84043574982
R_AATGm,-8.65808774294,1.84043574982
R_AATHA,-10.2766539821,2.7068765249
R_AATHB,-11.6594429734,1.08774785705
R_AAtr,0.0,0.0
R_AB6PGH,0.0,0.0
R_ABFPT,-11.7067119344,1.2233063929
R_ABFPTh,-11.7067119344,1.2233063929
R_ABO2g,0.0,0.0
R_ABOR,-48.2357339954,1.98944974249
R_ABTA,6.49365969657,1.48006891285
R_ABTArm,6.49365969657,1.48006891285
R_ABTD,29.0271540463,2.59536248895
R_ABTDG,11.735080978,3.69567230296
R_ABTpp2,0.0,0.0
R_ABTt,0.0,0.0
R_ABTti,0.0,0.0
R_ABUTD,-48.4215244298,1.9812286861
R_ABUTDm,-48.4215244298,1.9812286861
R_ABUTt2pp,0.0,0.0
R_ABUTt2r,0.0,0.0
R_ABUTt2rL,0.0,0.0
R_ABUTt4_2_r,0.0,0.0
R_ABUTtex,0.0,0.0
R_ABZtex,0.0,0.0
R_ACACCT,5.72484154149,1.42139354508
R_ACACT1,-26.1140003427,0.870224002401
R_ACACT10m,-32.1183282685,2.86199949978
R_ACACT1m,26.1140003427,0.870224002401
R_ACACT1r,26.1140003427,0.870224002401
R_ACACT1x,26.1140003427,0.870224002401
R_ACACT2,-35.1685152127,1.94744338255
R_ACACT2m,35.1685152127,1.94744338255
R_ACACT2r,35.1685152127,1.94744338255
R_ACACT3,-32.6054907907,1.35477094838
R_ACACT3m,32.6054907907,1.35477094838
R_ACACT3r,32.6054907907,1.35477094838
R_ACACT4m,32.6005964143,1.35477094838
R_ACACT4p,-32.6005964143,1.35477094838
R_ACACT4r,32.6005964143,1.35477094838
R_ACACT5m,32.6005964143,1.35477094838
R_ACACT5p,-32.6005964143,1.35477094838
R_ACACT5r,32.6005964143,1.35477094838
R_ACACT6m,32.6005964143,1.35477094838
R_ACACT6p,-32.6005964143,1.35477094838
R_ACACT6r,32.6005964143,1.35477094838
R_ACACT7m,32.6005964143,1.35477094838
R_ACACT7p,-32.6005964143,1.35477094838
R_ACACT7r,32.6005964143,1.35477094838
R_ACACT8p,-34.7452595868,1.88937972026
R_ACACT8r,-34.7452595868,1.88937972026
R_ACACt2,0.0,0.0
R_ACACt2m,0.0,0.0
R_ACACt2pp,0.0,0.0
R_ACACtex,0.0,0.0
R_ACACtm,0.0,0.0
R_ACACtx,0.0,0.0
R_ACALD,-17.7697440338,1.21372730517
R_ACALDCD,-11.5325748367,3.01033160652
R_ACALDh,-17.7697440338,1.21372730517
R_ACALDt,0.0,0.0
R_ACALDtex,0.0,0.0
R_ACALDtm,0.0,0.0
R_ACALDtpp,0.0,0.0
R_ACALDtr,0.0,0.0
R_ACALDtx,0.0,0.0
R_ACALDtx_1,0.0,0.0
R_ACANTHAT,-18.1781291154,3.12490466328
R_ACAROtu,0.0,0.0
R_ACAS_2ahbut,7.55823999102,3.87351779032
R_ACBIPGT,42.2974637522,0.0
R_ACCOAC,-4.67213435873,1.53235394406
R_ACCOAC_1,0.0,0.0
R_ACCOACrm,-4.67213435873,1.53235394406
R_ACCOAL,15.2691588025,2.97768592914
R_ACCOALm,6.00600802159,2.9601378257
R_ACCOAgt,0.0,0.0
R_ACCOAhi,-4.67213435873,1.53235394406
R_ACCOAth,0.0,0.0
R_ACCOAtm,0.0,0.0
R_ACCOAtm_1,0.0,0.0
R_ACCOAtn,0.0,0.0
R_ACCOAtr,0.0,0.0
R_ACCOAts,0.0,0.0
R_ACCOAtx,0.0,0.0
R_ACDHmi,-3.11748178845,1.24900094846
R_ACDO_co,-515.116563017,4.65781772529
R_ACESt,0.0,0.0
R_ACETONEt2,0.0,0.0
R_ACETONEt2m,0.0,0.0
R_ACGAL1PPpp,-21.6418824561,1.39500920783
R_ACGAL1Ptex,0.0,0.0
R_ACGAL6PI,0.0,0.0
R_ACGALK,-4.1386609466,1.38908980031
R_ACGALK2,-7.85654922623,2.00631239238
R_ACGALptspp,-38.9957151842,1.28885449987
R_ACGALtex,0.0,0.0
R_ACGALtlg,0.0,0.0
R_ACGALtly,0.0,0.0
R_ACGAM1PPpp,-19.5484661995,2.62451284172
R_ACGAM1Ptex,0.0,0.0
R_ACGAM2E,3.72323260682,2.0931335298
R_ACGAM6PS,-23.7043684802,3.79520687266
R_ACGAMK,-10.8921187384,2.56790684231
R_ACGAMPM,4.66004153522,2.9601378257
R_ACGAMT,4.45723488271,4.99363214211
R_ACGAMtly,0.0,0.0
R_ACGApts,-38.2393541124,2.61554647237
R_ACGAptspp,-38.2393541124,2.61554647237
R_ACGAtex,0.0,0.0
R_ACGK,30.753039683,2.99320078282
R_ACGKm,30.753039683,2.99320078282
R_ACGS,-28.4992292237,3.2889629611
R_ACGSm,-28.4992292237,3.2889629611
R_ACHBS,-21.5018937466,4.95996588997
R_ACHBSm,-21.5018937466,4.95996588997
R_ACHEe,-20.7682805396,1.04687023709
R_ACHLE1,-28.1775272575,2.15051420584
R_ACHLE3,0.0,0.0
R_ACHMSSELCYSL,-41.5604339866,0.0
R_ACHMSSELCYSLh,-41.5604339866,0.0
R_ACHVESSEC,-51.5610868053,0.61580382496
R_ACHtn,0.0,0.0
R_ACITL,10.0281391194,0.437361159306
R_ACKr,14.2767364414,0.554885498946
R_ACKrh,14.2767364414,0.554885498946
R_ACKrm,14.2767364414,0.554885498946
R_ACLDC,-15.5190708297,3.39699396328
R_ACLS,-31.8582519259,3.77282347592
R_ACLSm,-31.8582519259,3.77282347592
R_ACM6PH,-5.1576749729,3.30700868849
R_ACMANApts,-39.7872811258,3.09696500631
R_ACMANAptspp,-39.7872811258,3.09696500631
R_ACMANAt2,0.0,0.0
R_ACMANAtex,0.0,0.0
R_ACMUMptspp,-42.2198928227,1.28885449987
R_ACMUMtex,0.0,0.0
R_ACNAM9PL,-60.7928898826,3.06785203862
R_ACNAMPH,-13.5059294174,1.8373928232
R_ACNAMlt,0.0,0.0
R_ACNAMt2,0.0,0.0
R_ACNAMt2pp,0.0,0.0
R_ACNAMtex,0.0,0.0
R_ACNAMtn,0.0,0.0
R_ACNMCT,227.407550623,70710.6782521
R_ACNML,7.83054287265,0.892515135963
R_ACNPLYS,-60.9583216493,1.0460594842
R_ACOA100OR,47.4647964645,3.22532707529
R_ACOA120OR,47.4647964645,3.22532707529
R_ACOA140OR,47.4647964645,3.22532707529
R_ACOA160OR,49.6094596369,3.57037199745
R_ACOA40OR,41.1428675693,3.96510047846
R_ACOA60OR,46.3392719688,3.70134301063
R_ACOA80OR,47.4647964645,3.22532707529
R_ACOAD1,-56.15701365,2.70334473869
R_ACOAD10m,43.5315699742,3.41092499142
R_ACOAD1f,41.1428675693,3.96510047846
R_ACOAD1fm,41.1428675693,3.96510047846
R_ACOAD2,-61.3534180494,2.27899782097
R_ACOAD20,-341.260866093,4.77197830593
R_ACOAD2f,46.3392719688,3.70134301063
R_ACOAD3,62.4789425451,1.39635704853
R_ACOAD3f,47.4647964645,3.22532707529
R_ACOAD4,62.4789425451,1.39635704853
R_ACOAD4f,47.4647964645,3.22532707529
R_ACOAD5,62.4789425451,1.39635704853
R_ACOAD5f,47.4647964645,3.22532707529
R_ACOAD6,62.4789425451,1.39635704853
R_ACOAD6f,47.4647964645,3.22532707529
R_ACOAD7,64.6236057176,2.0694051744
R_ACOAD7f,49.6094596369,3.57037199745
R_ACOAD8f,47.4647964645,3.22532707529
R_ACOAD8m,43.5315699742,3.41092499142
R_ACOAD9m,44.9930958518,3.16476639201
R_ACOADH1,43.5315699742,3.41092499142
R_ACOADH2,-338.337814338,4.03696978287
R_ACOAH,30.3905879787,0.524649495393
R_ACOAHi,-30.3905879787,0.524649495393
R_ACOAHim,-30.3905879787,0.524649495393
R_ACOAO4p,-70.1633368159,4.37780203867
R_ACOAO5p,-70.1633368159,4.37780203867
R_ACOAO6p,-70.1633368159,4.37780203867
R_ACOAO7p,-68.0186736434,4.63788444739
R_ACOAO8p,-70.1633368159,4.37780203867
R_ACOAR2m,-61.5392084839,2.28476596457
R_ACOAR3m,-62.6647329796,1.41440831549
R_ACOAR4m,-62.6647329796,1.41440831549
R_ACOAR5m,-62.6647329796,1.41440831549
R_ACOAR6m,-62.6647329796,1.41440831549
R_ACOAR7m,-64.8093961521,2.0787708111
R_ACOATA,0.0,0.0
R_ACOATA_1,0.0,0.0
R_ACOATAm,0.0,0.0
R_ACODA,0.453884525008,3.40898800717
R_ACONCtex,0.0,0.0
R_ACONCtupp,0.0,0.0
R_ACONIs,3.68437724338,2.77729047245
R_ACONMT,58.9023344569,100000.00012
R_ACONT,7.63338650919,0.33355516968
R_ACONT3m,-0.000785047830846,0.0
R_ACONTa,8.31853891368,1.1449984572
R_ACONTb,-0.685152404491,1.1458163794
R_ACONTm,7.63338650919,0.33355516968
R_ACONTx,7.63338650919,0.33355516968
R_ACOTA,-11.1504387501,3.25216829858
R_ACOTAim,11.1504387501,3.25216829858
R_ACOX22x,-210.944027846,3.72240744947
R_ACP1_FMN,-28.2879944066,5.94758640579
R_ACP1e,-28.2879944066,5.94758640579
R_ACPCS,-30.4162304911,100000.000226
R_ACPS,-38.4855200277,2.94110023356
R_ACPS1,0.0,0.0
R_ACPS1_1,0.0,0.0
R_ACPS1h,0.0,0.0
R_ACPSm,-38.4855200277,2.94110023356
R_ACPh,-44.282949887,0.532304314997
R_ACPpds,0.0,0.0
R_ACRNtm,0.0,0.0
R_ACRNtp,0.0,0.0
R_ACRSP,-14.3286839755,1.23002388087
R_ACS,-4.6531062048,0.408489961376
R_ACS2,6.00600802159,2.9601378257
R_ACSERL,-0.0708652500385,0.0
R_ACSERLh,-0.0708652500385,0.0
R_ACSERLm,-0.0708652500385,0.0
R_ACSERSULL,-41.1124861977,0.0
R_ACSERSULLh,-41.1124861977,0.0
R_ACSERSULLm,-41.1124861977,0.0
R_ACSERtex,0.0,0.0
R_ACSERthi,0.0,0.0
R_ACSERtmi,0.0,0.0
R_ACSERtpp,0.0,0.0
R_ACSOMT,-8.93062176421,100000.000089
R_ACSRTNMT,-8.91219431792,100000.000089
R_ACSm,-4.6531062048,0.408489961376
R_ACSp,-4.6531062048,0.408489961376
R_ACTD,22.288255187,1.79842299854
R_ACTD2,-6.23716919716,2.61550430143
R_ACTDa,22.4740456214,1.80354755564
R_ACTLMO,-438.881911535,3.69798899741
R_ACTNMO,-371.902387517,3.76280112192
R_ACTNabc,-25.7805434027,0.30790191248
R_ACTNabc1,-25.7805434027,0.30790191248
R_ACTNt2r,0.0,0.0
R_ACYP,-44.282949887,0.532304314997
R_ACYP_2,-40.0572798441,0.639005983954
R_ACt2ipp,0.0,0.0
R_ACt2m,0.0,0.0
R_ACt2r,0.0,0.0
R_ACt2rpp,0.0,0.0
R_ACt4pp,0.0,0.0
R_ACtex,0.0,0.0
R_ACtg,0.0,0.0
R_ACth,0.0,0.0
R_ACtm,0.0,0.0
R_ACtp,0.0,0.0
R_ACtr,0.0,0.0
R_ACts,0.0,0.0
R_ADADir,-9.91614172459,2.33757882245
R_ADAPAT,8.6049416145,1.84043574982
R_ADATT,10.0966014813,9.32053506517
R_ADCL,-61.7652272282,6.65603993651
R_ADCPS1,-44.9330861459,0.0
R_ADCPS2,-37.4808947685,0.0
R_ADCS,-15.8694766328,3.08492688648
R_ADCYRS,-152.456214153,0.0
R_ADCim,-16.8234558306,4.15289049903
R_ADECn,7.20201242661,0.99909770648
R_ADEt,0.0,0.0
R_ADEt2,0.0,0.0
R_ADEt2rpp,0.0,0.0
R_ADEtex,0.0,0.0
R_ADEtl,0.0,0.0
R_ADEtm,0.0,0.0
R_ADHEr,-3.11748178845,1.24900094846
R_ADK1,-1.78010612871,0.161331902051
R_ADK1m,-1.78010612871,0.161331902051
R_ADK2,54.1402883453,0.0
R_ADK3,0.699725348362,1.34791476184
R_ADK3m,0.699725348362,1.34791476184
R_ADK4,-5.49799440835,1.47578728675
R_ADK4m,-5.49799440835,1.47578728675
R_ADKd,-2.79617179915,1.48006891285
R_ADMDC,-22.7471254696,3.105479303
R_ADNCYC,7.20201242661,0.99909770648
R_ADNK1,-11.7154767086,1.44100867317
R_ADNK1m,-11.7154767086,1.44100867317
R_ADNK3,-9.23564523152,1.88684314513
R_ADNK4,-14.4727329745,2.64325037354
R_ADNUC,-4.86767342326,1.76495898258
R_ADNt,0.0,0.0
R_ADNt2,0.0,0.0
R_ADNt2pp,0.0,0.0
R_ADNt4,0.0,0.0
R_ADNt5,0.0,0.0
R_ADNtex,0.0,0.0
R_ADNtl,0.0,0.0
R_ADNtm,0.0,0.0
R_ADOCBIAH,5.73739663088,0.0
R_ADOCBIK,-28.3896037318,0.0
