BiGG	formula	charge
2hiv	C5H10O3	0.0
2hog	C5H6O5	-2.0
2hp6mp	C37H56O2	0.0
2hxmp	C7H8O2	0.0
2hydog	C5H6O5	-2.0
2hymeph	C7H8O2	0.0
2hyoxplac	C8H7O3	-1.0
2ins	C6H10O6	0.0
2ippm	C7H8O4	-2.0
2kmb	C5H7O3S	-1.0
2m3hbu	C5H10O3	0.0
2m3hvac	C6H11O3	-1.0
2m3osuc	C5H4O5	-2.0
2m3ovac	C6H10O3	0.0
2m3ovcoa	C27H40N7O18P3S	-4.0
2m6phol	C27H46O2	0.0
2maacoa	C26H42N7O18P3S	0.0
2mahmp	C6H8N3O7P2	-3.0
2mb2coa	C26H38N7O17P3S	-4.0
2mbac	C7H14O2	0.0
2mbald	C5H10O	0.0
2mbcoa	C26H40N7O17P3S	-4.0
2mbdhl	C13H25NO2S2	0.0
2mbtoh	C5H12O	0.0
2mcacn	C7H5O6	-3.0
2mcit	C7H7O7	-3.0
2me4p	C5H12O7P	-1.0
2mecdp	C5H10O9P2	-2.0
2mop	C4H5O3	-1.0
2mp2coa	C25H36N7O17P3S	-4.0
2mpdhl	C12H23NO2S2	0.0
2mppal	C4H8O	0.0
2o3mpt	C6H10O3	0.0
2obut	C4H5O3	-1.0
2octdectecoa	C39H58N7O17P3S	-4.0
2octpencoa	C39H56N7O17P3S	-4.0
2odecg3p	C21H43O7P	0.0
2ohph	C46H70O2	0.0
2ombz	C47H70O3	0.0
2ombzl	C47H72O3	0.0
2omhmbl	C48H74O4	0.0
2ommb	C48H72O3	0.0
2ommbl	C48H74O3	0.0
2omph	C47H72O2	0.0
2oph	C46H70O	0.0
2oxoadp	C6H6O5	-2.0
2p4c2me	C14H22N3O17P3	-4.0
2pcpgc	C14H9O8	-1.0
2pg	C3H4O7P	-3.0
2pglyc	C2H2O6P	-3.0
2phetoh	C8H10O	0.0
2plac__L	C3H7O6P	0.0
2ppoh	C3H8O	0.0
2saa	C2H3O4S	-1.0
2shchc	C11H12O6	0.0
2tcc	C5H9NO5S2	0.0
2tpr3dpcoa	C26H41N7O26P5S	-5.0
31dmt	C43H67NO12	0.0
34dhbald	C7H6O3	0.0
34dhbz	C7H5O4	-1.0
34dhcinm	C9H7O4	-1.0
34dhmald	C8H8O4	0.0
34dhoxmand	C8H7O5	-1.0
34dhoxpeg	C8H10O4	0.0
34dhpac	C8H8O3	0.0
34dhpacet	C8H7O4	-1.0
34dhpe	C8H10O3	0.0
34dhpha	C8H7O4	-1.0
34dhphaccoa	C29H38N7O19P3S	-4.0
34dhphe	C9H11NO4	0.0
34hpl	C9H9O4	-1.0
34hpp	C9H7O4	-1.0
35cdamp	C10H12N5O5P	0.0
35cgmp	C10H11N5O7P	-1.0
35dhpvs	C23H35NaO9	0.0
35diotyr	C9H8I2NO3	-1.0
35dsmv	C25H40O7	0.0
36dahx	C6H15N2O2	1.0
3AStrmyn	C24H36N7O13P	0.0
3aap	C5H9NO2	0.0
3aib	C4H9NO2	0.0
3amac	C3H4NO2	-1.0
3amba	C4H9NO2	0.0
3amp	C10H12N5O7P	-2.0
3bcrn	C11H21NO5	0.0
3c2hmp	C7H10O5	-2.0
3c3hmp	C7H10O5	-2.0
3c4mop	C7H8O5	-2.0
3cmp	C9H12N3O8P	-2.0
3ddcrn	C19H37NO5	0.0
3ddecdicoa	C33H54N7O17P3S	0.0
3ddgc	C6H9O6	-1.0
3deccrn	C17H33NO5	0.0
3decdicoa	C31H46N7O17P3S	-4.0
3dh5hpb	C37H53O4	-1.0
3dhguln	C6H9O7	-1.0
3dhgulnp	C6H8O10P	-3.0
3dhq	C7H9O6	-1.0
3dhsk	C7H7O5	-1.0
3docopencoa	C43H64N7O17P3S	-4.0
3dodtricoa	C33H48N7O17P3S	-4.0
3dpdhb	C57H85O4	-1.0
3dpdhb_me	C58H87O4	-1.0
3dphb	C57H85O3	-1.0
3dsphgn	C18H38NO2	1.0
3gmp	C10H12N5O8P	-2.0
3h26dm5coa	C31H52N7O18P3S	0.0
3h3mglt	C6H8O5	-2.0
3haACP	C388H609O144N96P1S3	-1.0
3hadicoa	C27H39N7O20P3S	-5.0
3hadpac	C6H10O5	0.0
3hadpcoa	C27H39N7O20P3S	-5.0
3hanthrn	C7H6NO3	-1.0
3hbcoa	C25H38N7O18P3S	-4.0
3hcddec5eACP	C23H41N2O9PS*	-1.0
3hcinnm	C9H7O3	-1.0
3hcpalm9eACP	C27H49N2O9PS*	-1.0
3hcvac11eACP	C402H635O144N96P1S3	0.0
3hdcoa	C31H50N7O18P3S	-4.0
3hddcoa	C33H54N7O18P3S	-4.0
3hddecACP	C23H43N2O9PS*	-1.0
3hdeccoa	C37H60N7O18P3S	-4.0
3hdececrn	C23H43NO5	0.0
3hdpgpi	C49H98O12P	-1.0
3hexdcoa	C37H62N7O18P3S	-4.0
3hexdcrn	C23H45NO5	0.0
3hexdtetcoa	C37H54N7O17P3S	-4.0
3hexdtricoa	C37H56N7O17P3S	-4.0
3hglutcoa	C26H37N7O20P3S	-5.0
3hhcoa	C27H42N7O18P3S	-4.0
3hhdcoa	C37H62N7O18P3S	-4.0
3hhexACP	C390H613O144N96P1S3	0.0
3hibutcoa	C25H38N7O18P3S	-4.0
3hivac	C5H10O3	0.0
3hlido	C14H22N2O2	0.0
