reaction	lb	ub
R_ACNML	0	1000
R_ACOAD1f	0	1000
R_ACOAD1fr	0	1000
R_ACOAD2f	-1000	1000
R_ACOAD3f	-1000	1000
R_ACOAD4f	-1000	1000
R_ACOAD5f	-1000	1000
R_ACOAD6f	-1000	1000
R_ACOAD7f	-1000	1000
R_ACOAD8f	-1000	1000
R_ACOATA	-1000	1000
R_ACODA	0	1000
R_ACOLIPAabctex	0	1000
R_ACONIs	-1000	1000
R_ACONMT	0	1000
R_ACONTa	-1000	1000
R_ACONTb	-1000	1000
R_ACOTA	-1000	1000
R_ACOXT	-1000	1000
R_ACP1_FMN	0	1000
R_ACP1p	0	1000
R_ACPPAT120	0	1000
R_ACPPAT140	0	1000
R_ACPPAT141	0	1000
R_ACPPAT160	0	1000
R_ACPPAT161	0	1000
R_ACPPAT180	0	1000
R_ACPPAT181	0	1000
R_ACPS1	0	1000
R_ACS	0	1000
R_ACSERtex	-1000	1000
R_ACSERtpp	0	1000
R_ACt2rpp	-1000	1000
R_ACt4pp	0	1000
R_ACtex	-1000	1000
R_ADA	0	1000
R_ADCL	0	1000
R_ADCS	0	1000
R_ADD	0	1000
R_ADEt2rpp	-1000	1000
R_ADEtex	-1000	1000
R_ADK1	-1000	1000
R_ADK3	-1000	1000
R_ADK4	-1000	1000
R_ADMDC	0	1000
R_ADNCYC	0	1000
R_ADNK1	0	1000
R_ADNUC	0	1000
R_ADNt2pp_copy1	0	1000
R_ADNt2pp_copy2	-1000	1000
R_ADNtex	-1000	1000
R_ADOCBIK	0	1000
R_ADOCBLS	0	1000
R_ADOCBLabcpp	0	1000
R_ADOCBLtonex	0	1000
R_ADPRDP	0	1000
R_ADPT	0	1000
R_ADSK	0	1000
R_ADSL1r	-1000	1000
R_ADSL2r	-1000	1000
R_ADSS	0	1000
R_AGDC	0	1000
R_AGM3PA	0	1000
R_AGM3PApp	0	1000
R_AGM3PH	0	1000
R_AGM3Pt2pp	0	1000
R_AGM4PA	0	1000
R_AGM4PApp	0	1000
R_AGM4PCP	0	1000
R_AGM4PCPpp	0	1000
R_AGM4PH	0	1000
R_AGM4Pt2pp	0	1000
R_AGMH	0	1000
R_AGMHE	0	1000
R_AGMT	0	1000
R_AGMt2pp	0	1000
R_AGMtex	-1000	1000
R_AGPAT120	0	1000
R_AGPAT140	0	1000
R_AGPAT141	0	1000
R_AGPAT160	0	1000
R_AGPAT161	0	1000
R_AGPAT180	0	1000
R_AGPAT181	0	1000
R_AGPR	-1000	1000
R_AGt3	0	1000
R_AHCYSNS	0	1000
R_AHGDx	-1000	1000
R_AI2K	0	1000
R_AI2abcpp	0	1000
R_AI2tex	-1000	1000
