model	organism	genus	kingdom
iSbBS512_1146	Shigella boydii CDC 3083-94	Shigella	Bacteria
iSBO_1134	Shigella boydii Sb227	Shigella	Bacteria
iSDY_1059	Shigella dysenteriae Sd197	Shigella	Bacteria
iSFxv_1172	Shigella flexneri 2002017	Shigella	Bacteria
iS_1188	Shigella flexneri 2a str. 2457T	Shigella	Bacteria
iSF_1195	Shigella flexneri 2a str. 301	Shigella	Bacteria
iSFV_1184	Shigella flexneri 5 str. 8401	Shigella	Bacteria
iSSON_1240	Shigella sonnei Ss046	Shigella	Bacteria
iSB619	Staphylococcus aureus subsp. aureus N315	Staphylococcus	Bacteria
iYS854	Staphylococcus aureus subsp. aureus USA300_TCH1516	Staphylococcus	Bacteria
iJB785	Synechococcus elongatus PCC 7942	Synechococcus	Bacteria
iSynCJ816	Synechocystis sp. PCC 6803	Synechocystis	Bacteria
iJN678	Synechocystis sp. PCC 6803	Synechocystis	Bacteria
iLJ478	Thermotoga maritima MSB8	Thermotoga	Bacteria
iIS312_Trypomastigote	Trypanosoma cruzi Dm28c	Trypanosoma	Eukarya
iIS312_Epimastigote	Trypanosoma cruzi Dm28c	Trypanosoma	Eukarya
iIS312_Amastigote	Trypanosoma cruzi Dm28c	Trypanosoma	Eukarya
iIS312	Trypanosoma cruzi Dm28c	Trypanosoma	Eukarya
iPC815	Yersinia pestis CO92	Yersinia	Bacteria
